countryname;A2005;A2006;A2007;A2008;A2009;
Afghanistan;24860855;25631282;26349243;27032197;27708187;
Albania;3011487;2992547;2970017;2947314;2927519;
Algeria;33960903;34507214;35097043;35725377;36383302;
American Samoa;59117;58652;57919;57053;56245;
Andorra;81223;81877;81292;79969;78659;
Angola;16544376;17122409;17712824;18314441;18926650;
Antigua and Barbuda;82565;83467;84397;85349;86300;
Argentina;38647854;38988923;39331357;39676083;40023641;
Armenia;3014917;3002911;2989882;2977488;2968154;
Aruba;100031;100830;101219;101344;101418;
Australia;20394800;20697900;20827600;21249200;21691700;
Austria;8227829;8268641;8295487;8321496;8343323;
Azerbaijan;8391850;8484550;8581300;8763400;8947243;
Bahamas The;329088;335622;342049;348340;354492;
Bahrain;879534;950951;1032353;1116038;1191539;
Bangladesh;143135180;144868702;146457067;147969967;149503100;
Barbados;273568;274923;276277;277634;279006;
Belarus;9663000;9604000;9560000;9528000;9507000;
Belgium;10478617;10547958;10625700;10709973;10796493;
Belize;271920;278985;286196;293544;301016;
Benin;8182362;8443671;8707490;8973293;9240783;
Bermuda;64154;64523;64888;65273;65636;
Bhutan;650417;665568;679365;692159;704542;
Bolivia;9354709;9517395;9676456;9834098;9993406;
Bosnia and Herzegovina;3879828;3875157;3868665;3861201;3853446;
Botswana;1875805;1895944;1915187;1933719;1951715;
Brazil;186142403;188134315;189996976;191765567;193490922;
Brunei Darussalam;367815;374697;381440;388017;394400;
Bulgaria;7739900;7699020;7545338;7492561;7444443;
Burkina Faso;13421929;13822257;14235075;14659646;15094967;
Burundi;7770392;8042579;8328312;8624280;8926687;
Cabo Verde;478651;481940;483713;484651;485714;
Cambodia;13356424;13555054;13747288;13940518;14144225;
Cameroon;18137734;18611937;19097676;19595026;20103945;
Canada;32312000;32570505;32887928;33245773;33628571;
Cayman Islands;48623;50026;51472;52912;54275;
Central African Republic;3960897;4032102;4106897;4185106;4266247;
Chad;10014413;10356822;10694366;11030628;11371325;
Chile;16337749;16504530;16668892;16831184;16991729;
China;1303720000;1311020000;1317885000;1324655000;1331260000;
Colombia;43184026;43841370;44498390;45153037;45802561;
Comoros;600733;616526;632736;649291;666097;
Congo Dem. Rep.;54028003;55590838;57187942;58819038;60486276;
Congo Rep.;3542867;3646653;3758858;3876475;3995146;
Costa Rica;4320130;4392493;4463226;4532711;4601424;
Cote d'Ivoire;17393994;17662417;17949061;18260044;18601342;
Croatia;4442000;4440000;4436000;4434508;4429078;
Cuba;11292078;11301100;11301674;11296355;11288826;
Curacao;137658;141239;144056;145880;146832;
Cyprus;1032586;1048314;1063095;1077089;1090553;
Czech Republic;10211216;10238905;10298828;10384603;10443936;
Denmark;5419432;5437272;5461438;5493621;5523095;
Djibouti;776585;787544;798690;810100;821865;
Dominica;70542;70690;70795;70883;70996;
Dominican Republic;9343362;9479269;9615015;9750195;9884265;
Ecuador;13777131;14023503;14268397;14512402;14756424;
Egypt Arab Rep.;71777678;72990754;74229577;75491922;76775023;
El Salvador;6072538;6096692;6122952;6151776;6183484;
